Date	Account	Category	Amount	Note
2025-08-01	OPay	Uncategorized	11.0	 Aug  EChannel Kuda MFB 
2025-08-01	Access Bank	Uncategorized	0.0	Opening Balance  -
2025-08-01	Access Bank	Uncategorized	30000.0	-
2025-08-01	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-01	OPay	Uncategorized	11.0	 Aug EChannel OPay 
2025-08-02	OPay	Uncategorized	-20.0	 Aug Airtime EChannel
2025-08-02	OPay	Uncategorized	21.0	 Aug  EChannel
2025-08-02	OPay	Uncategorized	7.0	 Aug  EChannel Access Bank 
2025-08-02	Access Bank	Uncategorized	20973.0	-
2025-08-02	Access Bank	Uncategorized	25.0	MOBOLAJI OLAWUYI TO EMMANUEL OLADAYO  -
2025-08-02	Access Bank	Uncategorized	1.88	-
2025-08-02	OPay	Uncategorized	-14.0	 Aug Airtime EChannel
2025-08-02	Access Bank	Uncategorized	25.0	-
2025-08-02	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-02	Access Bank	Uncategorized	8973.0	-
2025-08-02	Access Bank	Uncategorized	1.88	-
2025-08-02	OPay	Uncategorized	20.0	 Aug  EChannel PalmPay 
2025-08-02	OPay	Uncategorized	-20.0	 Aug Airtime EChannel
2025-08-02	OPay	Uncategorized	-21.0	 Aug Autosave to OWealth Balance EChannel
2025-08-03	OPay	Uncategorized	15.0	 Aug EChannel
2025-08-03	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-03	OPay	Uncategorized	15.0	 Aug  EChannel
2025-08-03	OPay	Uncategorized	15.0	 Aug EChannel PalmPay 
2025-08-04	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-05	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-06	OPay	Uncategorized	-10.0	 Aug Transfer to ISRAEL MOBOLAJI EChannel Access Bank 
2025-08-06	OPay	Uncategorized	22.0	 Aug EChannel PalmPay 
2025-08-06	OPay	Uncategorized	22.0	 Aug  EChannel
2025-08-06	Access Bank	Uncategorized	35345.0	-
2025-08-06	Access Bank	Uncategorized	7850.0	Transfer from OLAYEMI BASIRAT OSENI -
2025-08-06	OPay	Uncategorized	22.0	 Aug EChannel
2025-08-06	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel ConpIDOvrqLOgzC
